id_engcit,codgeo,libgeo,echelon,Dispositif,periode,projet_partage,url
patde-1,34164,Montaud,commune,PATDE,2021-2025,,https://agence-cohesion-territoires.gouv.fr/un-cafe-citoyen-montaud-1157
patde-2,200040293,CC du Clunisois,epci,PATDE,2021-2025,,
patde-3,73065,Chambéry,commune,PATDE,2021-2025,,
patde-4,69072,Dardilly,commune,PATDE,2021-2025,,
patde-5,61169,Flers,commune,PATDE,2021-2025,,
patde-6,38151,Échirolles,commune,PATDE,2021-2025,,
patde-7,59009,Villeneuve-d'Ascq,commune,PATDE,2021-2025,,
patde-8,87064,Eymoutiers,commune,PATDE,2021-2025,,https://agence-cohesion-territoires.gouv.fr/realisation-dun-ouvrage-audiovisuel-partage-1289
patde-9,39189,Damparis,commune,PATDE,2021-2025,,https://agence-cohesion-territoires.gouv.fr/reinventer-les-ateliers-municipaux-1159
patde-11,200030674,CA Val de Garonne Agglomération,epci,PATDE,2021-2025,,
patde-12,50129,Cherbourg-en-Cotentin,commune,PATDE,2021-2025,,
patde-13,53182,Port-Brillet,commune,PATDE,2021-2025,,
patde-14,42168,Pélussin,commune,PATDE,2021-2025,,
patde-15,200036499,CC de Marana-Golo,epci,PATDE,2021-2025,,https://agence-cohesion-territoires.gouv.fr/le-festival-des-spuntini-1309
pptde-16,78361,Mantes-la-Jolie,commune,PPTDE,Sep. 2021-Dec.2022,Démocratie culturelle,
pptde-17,35126,Guichen,commune,PPTDE,Sep. 2021-Dec.2022,Démocratie culturelle,
pptde-18,18033,Bourges,commune,PPTDE,Sep. 2021-Dec.2022,Démocratie culturelle,
pptde-19,79191,Niort,commune,PPTDE,Sep. 2021-Dec.2022,Démocratie culturelle,
pptde-20,93039,L'Île-Saint-Denis,commune,PPTDE,Sep. 2021-Dec.2022,Le droit des adolescents et des jeunes à une vie épanouie,
pptde-21,75056,Paris,commune,PPTDE,Sep. 2021-Dec.2022,Le droit des adolescents et des jeunes à une vie épanouie,
pptde-22,44143,Rezé,commune,PPTDE,Sep. 2021-Dec.2022,Le droit des adolescents et des jeunes à une vie épanouie,
pptde-23,09306,Tarascon-sur-Ariège,commune,PPTDE,Sep. 2021-Dec.2022,Le droit des adolescents et des jeunes à une vie épanouie,
