id_engcit,codgeo,libgeo,echelon,dispositif,periode,ingredients,url
patde-1,200040293,CC du Clunisois,epci,PATDE,2022,,
patde-10,200036499,CC de Marana-Golo,epci,PATDE,"2023, 2024",,
patde-18,200030674,CA Val de Garonne Agglomération,epci,PATDE,2024,,
patde-25,73065,Chambéry,commune,PATDE,2023,,
patde-37,50129,Cherbourg-en-Cotentin,commune,PATDE,2024,,
patde-42,39189,Damparis,commune,PATDE,2022,,
patde-52,69072,Dardilly,commune,PATDE,2023,,
patde-61,38151,Échirolles,commune,PATDE,2023,,
patde-72,87064,Eymoutiers,commune,PATDE,2022,,
patde-76,61169,Flers,commune,PATDE,"2024, 2023",,
patde-85,34164,Montaud,commune,PATDE,2022,,
patde-99,42168,Pélussin,commune,PATDE,"2024, 2025",,
patde-109,53182,Port-Brillet,commune,PATDE,2024,,
patde-117,11339,Saint-Denis,commune,PATDE,2023,,
patde-123,59009,Villeneuve-d'Ascq,commune,PATDE,2022,,
patde-124,60143,Chaumont-en-Vexin,commune,PATDE,2024,,
patde-125,200033579,CU d'Arras,epci,PATDE,"2024, 2025",,
patde-126,78311,Houilles,commune,PATDE,2024,,
patde-127,63307,Romagnat,commune,PATDE,2024,,
patde-177,247103864,CC de Semur en Brionnais,epci,PATDE,2025,,
patde-178,81271,Saint-Sulpice-la-Pointe,commune,PATDE,2025,,
patde-184,29163,Pleyber-Christ,commune,PATDE,2025,,
patde-185,28199,Janville-en-Beauce,commune,PATDE,2025,,
patde-186,4244,Volonne,commune,PATDE,2025,,
patde-187,2720,Sissonne,commune,PATDE,"2025, 2026",,
patde-188,63415,Sauxillanges,commune,PATDE,"2025, 2026",,
-190,,,,,,,
pptde-1,18033,Bourges,commune,PPTDE,"2021, 2022",,
pptde-2,78361,Mantes-la-Jolie,commune,PPTDE,"2021, 2022",,
pptde-3,9306,Tarascon-sur-Ariège,commune,PPTDE,"2022, 2021",,
pptde-4,44143,Rezé,commune,PPTDE,"2022, 2021",,
pptde-5,75056,Paris,commune,PPTDE,"2022, 2021",,
pptde-6,54547,Vandœuvre-lès-Nancy,commune,PPTDE,"2024, 2023",,
pptde-7,63430,Thiers,commune,PPTDE,"2024, 2023",,
pptde-8,84137,Vaison-la-Romaine,commune,PPTDE,"2024, 2023",,
pptde-9,246800551,CC de la Vallée de Kaysersberg,epci,PPTDE,"2024, 2023",,
pptde-10,1053,Bourg-en-Bresse,commune,PPTDE,"2025, 2024",,
pptde-11,57463,Metz,commune,PPTDE,"2025, 2024",,
pptde-12,71014,Autun,commune,PPTDE,"2025, 2024",,
pptde-13,35126,Guichen,commune,PPTDE,"2021, 2022",,
pptde-14,79191,Niort,commune,PPTDE,"2021, 2022",,
pptde-15,93039,L'Île-Saint-Denis,commune,PPTDE,"2022, 2021",,
,,,,,,,
cco-2,31202,Fronton,commune,CCO,2021,,
cco-3,26063,Buis-les-Baronnies,commune,CCO,2021,,
cco-4,38315,Le Pont-de-Beauvoisin,commune,CCO,2021,,
cco-5,200048551,CC du Pays de Craon,epci,CCO,2021,,
cco-6,249740101,CA Territoire de la Côte Ouest (TCO),epci,CCO,2021,,
cco-7,200066793,CA du Grand Annecy,epci,CCO,2021,,
cco-8,69269,Yzeron,commune,CCO,2021,,
cco-9,92012,Boulogne-Billancourt,commune,CCO,2021,,
cco-10,42186,Rive-de-Gier,commune,CCO,2021,,
cco-11,200066322,CC Terres des Confluences,epci,CCO,2021,,
cco-12,74010,Annecy,commune,CCO,2021,,
,,,,,,,
cco-14,21287,Fresnes,commune,CCO,2021,,
,,,,,,,
cco-16,9225,Pamiers,commune,CCO,2021,,
cco-17,200034023,CC Tarn-Agout,epci,CCO,2021,,
cco-18,81060,Carmaux,commune,CCO,2021,,
cco-19,200040111,CC Coeur de Chartreuse,epci,CCO,2022,,
cco-20,74224,La Roche-sur-Foron,commune,CCO,2022,,
cco-21,200039642,CC Le Tonnerrois en Bourgogne,epci,CCO,2022,,
cco-22,84080,Monteux,commune,CCO,2022,,
cco-23,47222,La Réunion,commune,CCO,2022,,
,,,,,,,
cco-25,13014,Berre-l'Étang,commune,CCO,2022,,
cco-26,200040392,CA Le Grand Périgueux,epci,CCO,2022,,
cco-27,9267,Saint-Lary,commune,CCO,2022,,
cco-28,65031,Arreau,commune,CCO,2022,,
cco-29,34028,Bédarieux,commune,CCO,2022,,
cco-30,53096,Ernée,commune,CCO,2022,,
,,,,,,,
cco-32,63415,Sauxillanges,commune,CCO,2022,,
cco-33,243700754,Tours Métropole Val de Loire,epci,CCO,2022,,
cco-34,80211,Conty,commune,CCO,2022,,
cco-35,80630,Poix-de-Picardie,commune,CCO,2022,,
cco-36,33318,Pessac,commune,CCO,2022,,
cco-37,245701206,CC du Saulnois,epci,CCO,2022,,
cco-38,50218,Granville,commune,CCO,2022,,
cco-39,50502,Saint-Lô,commune,CCO,2022,,
cco-40,245900428,CU de Dunkerque,epci,CCO,2022,,
cco-41,200060473,CC du Sud,epci,CCO,2022,,
cco-42,91228,Évry-Courcouronnes,commune,CCO,2023,,
cco-43,40002,Amou,commune,CCO,2023,,
cco-44,40201,Mugron,commune,CCO,2023,,
cco-45,50147,Coutances,commune,CCO,2023,,
cco-46,31113,Castanet-Tolosan,commune,CCO,2023,,
cco-47,49223,Mûrs-Erigné,commune,CCO,2023,,
cco-48,40194,Montfort-en-Chalosse,commune,CCO,2023,,
cco-49,200049658,PETR du Pays de la Déodatie,epci,CCO,2023,,
,,,,,,,
cco-51,38225,Autrans-Méaudre en Vercors,commune,CCO,2023,,
cco-52,22384,Uzel,commune,CCO,2023,,
cco-53,69272,Communay,commune,CCO,2023,,
cco-54,73248,Saint-Jean-de-Maurienne,commune,CCO,2023,,
cco-55,77014,Avon,commune,CCO,2023,,
cco-56,243301264,CC de Montesquieu,epci,CCO,2023,,
cco-57,2722,Soissons,commune,CCO,2023,,
cco-58,77284,Meaux,commune,CCO,2023,,
,,,,,,,
cco-60,200054781,Métropole du Grand Paris,epci,CCO,2023,,
cco-61,13055,Marseille,commune,CCO,2023,,
cco-62,62729,Rumilly,commune,CCO,2024,,
cco-63,26139,Génissieux,commune,CCO,2024,,
cco-64,247200629,CC du Val de Sarthe,epci,CCO,2024,,
cco-65,200070936,CC Ponthieu-Marquenterre,epci,CCO,2024,,
cco-66,91570,Saint-Michel-sur-Orge,commune,CCO,2024,,
cco-67,200052801,"PETR du Briançonnais, des Ecrins, du Guillestrois et du Queyras",epci,CCO,"2024, 2024, 2024",,
cco-68,78642,Verneuil-sur-Seine,commune,CCO,2024,,
cco-69,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,epci,CCO,2024,,
cco-70,245400676,Métropole du Grand Nancy,epci,CCO,2024,,
cco-71,34079,Clermont-l'Hérault,commune,CCO,2024,,
cco-72,44048,Couffé,commune,CCO,2024,,
cco-73,95219,Ermont,commune,CCO,2024,,
cco-74,28199,Janville-en-Beauce,commune,CCO,2024,,
cco-75,22223,Plouisy,commune,CCO,2024,,
cco-76,252600192,SM Parc naturel régional du Vercors,epci,CCO,2024,,
cco-77,200054807,Métropole d'Aix-Marseille-Provence,epci,CCO,2025,,
cco-78,84124,Saumane-de-Vaucluse,commune,CCO,2025,,
cco-79,16090,Châteauneuf-sur-Charente,commune,CCO,2025,,
cco-80,38422,Saint-Martin-d'Uriage,commune,CCO,2025,,
-82,2720,Sissonne,commune,CCO,2025,,
-86,249720053,CA de l'Espace Sud de la Martinique,epci,CCO,2025,,
-88,200070431,CC Saint-Marcellin Vercors Isère Communauté,epci,CCO,2025,,
-90,56162,Ploemeur,commune,CCO,2025,,
-92,60382,Margny-lès-Compiègne,commune,CCO,2026,,
-93,54580,Villerupt,commune,CCO,2026,,
ai-2,246800551,CC de la Vallée de Kaysersberg,epci,AI,2023,,
ai-3,200040293,CC du Clunisois,epci,AI,2023,,
ai-4,71137,Cluny,commune,AI,2023,,
ai-6,69072,Dardilly,commune,AI,2023,,
ai-7,39189,Damparis,commune,AI,2023,,
ai-8,38151,Échirolles,commune,AI,2023,,
ai-9,34164,Montaud,commune,AI,2023,,
ai-10,200030674,CA Val de Garonne Agglomération,epci,AI,2023,,
ai-11,73065,Chambéry,commune,AI,2023,,
ai-14,50129,Cherbourg-en-Cotentin,commune,AI,2023,,
ai-15,53182,Port-Brillet,commune,AI,2023,,
