id_engcit,codgeo,libgeo,Echelon,demarche,periode,projet_partage,ingredients,url
tde-1,34164,Montaud,commune,TDE,2021-2025,,"Jour de la Nuit (Balade nocturne);
""Mobiliser l'intelligence d'un territoire"";
Concevoir et animer des dispositifs participatifs",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-2,200040293,CC du Clunisois,epci,TDE,2021-2025,,"Transformation de l'ancien sanatorium de Bergesserin;
""Mobiliser l'intelligence d'un territoire"";
""Design des politiques publiques""",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-3,73065,Chambéry,commune,TDE,2021-2025,,"Conseils de Quartier citoyens;
Forum Jeunesse;
Structuration de la MCI;
Démarches de participation citoyenne dans les projets d'aménagement et d'urbanisme",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-4,69072,Dardilly,commune,TDE,2021-2025,,"Implication citoyenne dans l'experimentation des biodéchets;
Création d'un Tiers-lieu;
Modes de gouvernance, partages et démocratie particiaptive",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-5,61169,Flers,commune,TDE,2021-2025,,"Accompagnement du CCAS;
""Mobiliser l'intelligence d'un territoire"";
""Design des politiques publiques""",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-6,38151,Échirolles,commune,TDE,2021-2025,,"Sport en ville;
Ville conviviale;
Amorçage de l'université citoyenne d'Echirolles;
Verger participatif",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-7,59009,Villeneuve-d'Ascq,commune,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-8,87064,Eymoutiers,commune,TDE,2021-2025,,"Accompagnement des agents dans la détection et le traitement de l'information;
Réalisation d'un film documentaire participatif avec les habitants;
Prise de parole en public, conversation avec les citoyens, posture de médiation",https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-9,39189,Damparis,commune,TDE,2021-2025,,Ateliers municipaux,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-11,200030674,CA Val de Garonne Agglomération,epci,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-12,50129,Cherbourg-en-Cotentin,commune,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-13,53182,Port-Brillet,commune,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-14,42168,Pélussin,commune,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tde-15,200036499,CC de Marana-Golo,epci,TDE,2021-2025,,,https://agence-cohesion-territoires.gouv.fr/les-parcours-daccompagnement-territoires-dengagement-493
tec-16,78361,Mantes-la-Jolie,commune,TEC,Sep. 2021-Dec.2022,Culture,,https://www.territoires-en-commun.fr/home/projets-partages/laction-culturelle-locale-avec-mantes-la-jolie-niort-guichen-et-bourges
tec-17,35126,Guichen,commune,TEC,Sep. 2021-Dec.2022,Culture,,https://www.territoires-en-commun.fr/home/projets-partages/laction-culturelle-locale-avec-mantes-la-jolie-niort-guichen-et-bourges
tec-18,18033,Bourges,commune,TEC,Sep. 2021-Dec.2022,Culture,,https://www.territoires-en-commun.fr/home/projets-partages/laction-culturelle-locale-avec-mantes-la-jolie-niort-guichen-et-bourges
tec-19,79191,Niort,commune,TEC,Sep. 2021-Dec.2022,Culture,,https://www.territoires-en-commun.fr/home/projets-partages/laction-culturelle-locale-avec-mantes-la-jolie-niort-guichen-et-bourges
tec-20,93039,L'Île-Saint-Denis,commune,TEC,Sep. 2021-Dec.2022,Ados,,https://www.territoires-en-commun.fr/home/projets-partages/le-droit-des-adolescents-et-des-jeunes-une-vie-epanouie-avec-tarascon-sur
tec-21,75056,Paris,commune,TEC,Sep. 2021-Dec.2022,Ados,,https://www.territoires-en-commun.fr/home/projets-partages/le-droit-des-adolescents-et-des-jeunes-une-vie-epanouie-avec-tarascon-sur
tec-22,44143,Rezé,commune,TEC,Sep. 2021-Dec.2022,Ados,,https://www.territoires-en-commun.fr/home/projets-partages/le-droit-des-adolescents-et-des-jeunes-une-vie-epanouie-avec-tarascon-sur
tec-23,09306,Tarascon-sur-Ariège,commune,TEC,Sep. 2021-Dec.2022,Ados,,https://www.territoires-en-commun.fr/home/projets-partages/le-droit-des-adolescents-et-des-jeunes-une-vie-epanouie-avec-tarascon-sur
tec-24,84137,Vaison-la-Romaine,commune,TEC,Sep. 2022- Dec.2023,Aménagement,,https://www.territoires-en-commun.fr/home/projets-partages/lamenagement-participatif-avec-la-communaute-de-communes-de-la-vallee
tec-25,54547,Vandœuvre-lès-Nancy,commune,TEC,Sep. 2022- Dec.2023,Aménagement,,https://www.territoires-en-commun.fr/home/projets-partages/lamenagement-participatif-avec-la-communaute-de-communes-de-la-vallee
tec-26,246800551,CC de la Vallée de Kaysersberg,epci,TEC,Sep. 2022- Dec.2023,Aménagement,,https://www.territoires-en-commun.fr/home/projets-partages/lamenagement-participatif-avec-la-communaute-de-communes-de-la-vallee
tec-27,63430,Thiers,commune,TEC,Sep. 2022- Dec.2023,Aménagement,,https://www.territoires-en-commun.fr/home/projets-partages/lamenagement-participatif-avec-la-communaute-de-communes-de-la-vallee
cco-30,55,Meuse,departement,CCO,,,,
cco-32,31202,Fronton,commune,CCO,,,,
cco-33,26063,Buis-les-Baronnies,commune,CCO,,,,
cco-34,38315,Le Pont-de-Beauvoisin,commune,CCO,,,,
cco-36,200048551,CC du Pays de Craon,epci,CCO,,,,
cco-37,249740101,CA Territoire de la Côte Ouest (TCO),epci,CCO,,,,
cco-39,200066793,CA du Grand Annecy,epci,CCO,,,,
cco-40,69269,Yzeron,commune,CCO,,,,
cco-41,92012,Boulogne-Billancourt,commune,CCO,,,,
cco-42,42186,Rive-de-Gier,commune,CCO,,,,
cco-43,200066322,CC Terres des Confluences,epci,CCO,,,,
cco-44,74010,Annecy,commune,CCO,,,,
cco-45,#Invalid Ref: Nouvelle-Calédonie,Nouvelle-Calédonie,#Invalid Ref: Nouvelle-Calédonie,CCO,,,,
cco-46,21287,Fresnes,commune,CCO,,,,
cco-47,06,Alpes-Maritimes,departement,CCO,,,,
cco-48,09225,Pamiers,commune,CCO,,,,
cco-49,200034023,CC Tarn-Agout,epci,CCO,,,,
cco-50,81060,Carmaux,commune,CCO,,,,
cco-51,200040111,CC Coeur de Chartreuse,epci,CCO,,,,
cco-52,74224,La Roche-sur-Foron,commune,CCO,,,,
cco-53,200039642,CC Le Tonnerrois en Bourgogne,epci,CCO,,,,
cco-54,84080,Monteux,commune,CCO,,,,
cco-57,974,La Réunion,departement,CCO,,,,
cco-58,59,Nord,departement,CCO,,,,
cco-61,13014,Berre-l'Étang,commune,CCO,,,,
cco-62,200040392,CA Le Grand Périgueux,epci,CCO,,,,
cco-63,09267,Saint-Lary,commune,CCO,,,,
cco-64,65031,Arreau,commune,CCO,,,,
cco-65,34028,Bédarieux,commune,CCO,,,,
cco-66,53096,Ernée,commune,CCO,,,,
cco-67,46,Lot,departement,CCO,,,,
cco-68,63415,Sauxillanges,commune,CCO,,,,
cco-69,243700754,Tours Métropole Val de Loire,epci,CCO,,,,
cco-70,80211,Conty,commune,CCO,,,,
cco-71,80630,Poix-de-Picardie,commune,CCO,,,,
cco-72,33318,Pessac,commune,CCO,,,,
cco-73,245701206,CC du Saulnois,epci,CCO,,,,
